Name,PredominantDegree,HighestDegree,FundingModel,Region,Geography,AdmissionRate,ACTMedian,SATAverage,AverageCost,Expenditure,AverageFacultySalary,MedianDebt,AverageAgeofEntry,MedianFamilyIncome,MedianEarnings
University of Pennsylvania,Bachelor's,Graduate,Private,Mid-Atlantic,Large City,0.1224,32,1442,59600,52081,15460,19500,22.2199993,62169,73200
Philadelphia University,Bachelor's,Graduate,Private,Mid-Atlantic,Large City,0.6408,23,1062,46451,9410,7818,24750,20.4799995,81316.5,43600
The University of the Arts,Bachelor's,Graduate,Private,Mid-Atlantic,Large City,0.7539,22,1010,52401,12248,6980,25394,19.8899994,81397,26600
Cairn University-Langhorne,Bachelor's,Graduate,Private,Mid-Atlantic,Large Suburb,0.5131,22,1008,32509,6906,5653,21540,23.3999996,61586.5,30700
University of the Sciences,Bachelor's,Graduate,Private,Mid-Atlantic,Large City,0.5635,25,1165,49327,12508,8000,27000,19.6900005,82840.5,94000
University of Pittsburgh-Bradford,Bachelor's,Bachelor's,Public,Mid-Atlantic,Remote Town,0.8532,21,973,23732,8308,7007,22000,20.9300003,71893,45600
University of Pittsburgh-Greensburg,Bachelor's,Bachelor's,Public,Mid-Atlantic,Large Suburb,0.9311,22,1017,23343,5416,6552,22000,20.9300003,71893,45600
University of Pittsburgh-Johnstown,Bachelor's,Bachelor's,Public,Mid-Atlantic,Small Suburb,0.9038,22,1021,23709,5859,6624,22000,20.9300003,71893,45600
University of Pittsburgh-Pittsburgh Campus,Bachelor's,Graduate,Public,Mid-Atlantic,Large City,0.5613,28,1258,30410,16506,9533,22000,20.9300003,71893,45600
University of Pittsburgh-Titusville,Associate,Associate,Public,Mid-Atlantic,Remote Town,0.954,18,878,22596,8727,5949,22000,20.9300003,71893,45600
Point Park University,Bachelor's,Graduate,Private,Mid-Atlantic,Large City,0.7393,22,997,36726,8943,7853,22250,23.8600006,46028,32700
Robert Morris University,Bachelor's,Graduate,Private,Mid-Atlantic,Large Suburb,0.8051,23,1041,38274,7491,9890,21500,21.9699993,63178.5,39500
Rosemont College,Bachelor's,Graduate,Private,Mid-Atlantic,Large Suburb,0.5838,21,927,45067,6212,5011,25000,23.7000008,45253,42200
Saint Francis University,Bachelor's,Graduate,Private,Mid-Atlantic,Fringe Town,0.7606,23,1026,42492,7042,7194,26123,20.5200005,72643.5,43900
Saint Joseph's University,Bachelor's,Graduate,Private,Mid-Atlantic,Large City,0.7873,24,1110,52779,11930,7113,20500,21.1200008,109701.5,51600
Saint Vincent College,Bachelor's,Graduate,Private,Mid-Atlantic,Large Suburb,0.6875,23,1035,41591,7914,7116,25000,19.8299999,80131,40600
University of Scranton,Bachelor's,Graduate,Private,Mid-Atlantic,Small City,0.7503,25,1121,51962,10141,9400,26442,20.0699997,93993,50800
Seton Hill University,Bachelor's,Graduate,Private,Mid-Atlantic,Large Suburb,0.652,23,1032,40497,8304,6822,22131,22.3099995,56664,36000
Shippensburg University of Pennsylvania,Bachelor's,Graduate,Public,Mid-Atlantic,Fringe Town,0.8341,20,980,20840,8550,9483,18000,20.2099991,75275.5,40400
Slippery Rock University of Pennsylvania,Bachelor's,Graduate,Public,Mid-Atlantic,Distant Town,0.6698,21,1002,21303,7194,9336,20500,20.5400009,64717,36100
Susquehanna University,Bachelor's,Bachelor's,Private,Mid-Atlantic,Distant Town,0.7233,25,1129,49025,10613,7970,21000,19.7099991,89238,47100
Swarthmore College,Bachelor's,Bachelor's,Private,Mid-Atlantic,Large Suburb,0.1432,33,1442,58481,29924,12138,17718.5,19.2900009,89473,41300
Temple University,Bachelor's,Graduate,Public,Mid-Atlantic,Large City,0.6387,25,1121,27247,12500,9648,21700,21.3299999,56155,43600
Thiel College,Bachelor's,Bachelor's,Private,Mid-Atlantic,Fringe Town,0.655,21,967,39573,7496,6301,20500,19.9099999,57911,33100
Ursinus College,Bachelor's,Bachelor's,Private,Mid-Atlantic,Large Suburb,0.6633,27,1182,57163,13464,8769,27000,19.6100006,89174,46600
Valley Forge Christian College,Bachelor's,Graduate,Private,Mid-Atlantic,Large Suburb,0.6585,22,977,29736,6212,4733,21956,20.7999992,53124.5,27800
Valley Forge Military College,Associate,Associate,Private,Mid-Atlantic,Large Suburb,0.7484,18,913,43500,13234,4455,7615,19.7000008,85917,35500
Villanova University,Bachelor's,Graduate,Private,Mid-Atlantic,Large Suburb,0.489,30,1316,56265,15426,10425,25000,20.0200005,112696,65100
Waynesburg University,Bachelor's,Graduate,Private,Mid-Atlantic,Distant Town,0.7523,23,1015,28822,8294,6633,23000,23.3500004,64789,39300
Westminster College,Bachelor's,Graduate,Private,Mid-Atlantic,Fringe Town,0.7336,23,1040,42474,8865,6470,26000,19.5900002,75532,37300
Wilson College,Bachelor's,Graduate,Private,Mid-Atlantic,Small City,0.5267,22,993,39818,8569,6535,23111.5,25.8099995,43650,29400
York College Pennsylvania,Bachelor's,Graduate,Private,Mid-Atlantic,Mid-size Suburb,0.7351,23,1045,27266,8057,8887,20500,20.6000004,86883.5,43600
Brown University,Bachelor's,Graduate,Private,New England,Mid-size City,0.0918,32,1425,58140,30823,13381,15164,19.7800007,84559,54400
Bryant University,Bachelor's,Graduate,Private,New England,Large Suburb,0.7655,25,1137,50858,8913,12905,26706,19.5200005,104089,57800
Providence College,Bachelor's,Graduate,Private,New England,Mid-size City,0.5979,26,1158,56184,12232,9471,27000,19.8799992,110798,52900
Rhode Island College,Bachelor's,Graduate,Public,New England,Large Suburb,0.6915,20,930,14858,7628,7607,15462,22.0699997,52408,35300
University of Rhode Island,Bachelor's,Graduate,Public,New England,Large Suburb,0.7871,24,1076,26262,7446,9144,19500,20.6599999,78122.5,44600
Rhode Island School of Design,Bachelor's,Graduate,Private,New England,Mid-size City,0.2731,28,1239,59597,20460,7949,25000,21.5300007,75194,39200
Salve Regina University,Bachelor's,Graduate,Private,New England,Large Suburb,0.6706,25,1109,48219,8057,7425,26303.5,19.4699993,100931,44800
Anderson University,Bachelor's,Graduate,Private,Southeast,Small City,0.6502,24,1079,35340,5009,6409,19500,22.2000008,58707.5,32600
Charleston Southern University,Bachelor's,Graduate,Private,Southeast,Small City,0.6887,21,973,33245,5888,6087,15750,21.9300003,44120.5,32400
Southern Wesleyan University,Bachelor's,Graduate,Private,Southeast,Large Suburb,0.937,19,916,31054,6353,5258,23375,30.7199993,43811,36800
College of Charleston,Bachelor's,Graduate,Public,Southeast,Mid-size City,0.7031,26,1165,25086,8234,7747,17000,20.5799999,71255,35800
Citadel Military College of South Carolina,Bachelor's,Graduate,Public,Southeast,Mid-size City,0.8041,23,1080,24827,8968,8115,19500,20.0900002,83389,46400
Claflin University,Bachelor's,Graduate,Private,Southeast,Distant Town,0.526,18,873,29849,7775,6217,22055,22.9599991,27154,25000
Clemson University,Bachelor's,Graduate,Public,Southeast,Large Suburb,0.5787,29,1259,27944,11711,9907,20008,20.0699997,87306,43500
Coker College,Bachelor's,Bachelor's,Private,Southeast,Distant Town,0.5326,20,956,32029,6063,6032,20850,26.7999992,34833,30400
Columbia International University,Bachelor's,Graduate,Private,Southeast,Mid-size City,0.6258,22,1055,28141,6611,4559,17250,22.0799999,46934,25900
Columbia College,Bachelor's,Graduate,Private,Southeast,Mid-size City,0.6499,22,1027,37599,7445,5435,23169.5,22.9699993,39118,31200
Converse College,Bachelor's,Graduate,Private,Southeast,Small City,0.5201,24,1072,39748,6345,6284,18333,24.0400009,50064,30100
Erskine College,Bachelor's,Graduate,Private,Southeast,Distant Rural,0.6973,22,1010,45198,8075,5887,19444.5,19.3799992,66611,33000
Francis Marion University,Bachelor's,Graduate,Public,Southeast,Small Suburb,0.5667,20,938,19965,8401,7223,19250,20.5499992,38222,30400
Furman University,Bachelor's,Graduate,Private,Southeast,Large Suburb,0.6397,28,1237,55434,18804,8957,20500,19.8899994,93139.5,40200
Lander University,Bachelor's,Graduate,Public,Southeast,Distant Town,0.4216,20,945,21628,5092,5675,15250,20.9699993,45814,31300
Limestone College,Bachelor's,Bachelor's,Private,Southeast,Fringe Town,0.5322,22,1010,34658,4875,4780,20000,30.1399994,31465.5,33800
Newberry College,Bachelor's,Bachelor's,Private,Southeast,Distant Town,0.5908,20,938,37837,5913,5099,21492,19.9300003,53768,28900
North Greenville University,Bachelor's,Graduate,Private,Southeast,Fringe Rural,0.5791,25,1137,28373,4680,5568,12000,20.3999996,53275,27000
Presbyterian College,Bachelor's,Bachelor's,Private,Southeast,Distant Town,0.66,25,1121,45130,10252,7217,18797,19.2999992,84599,37800
University of South Carolina-Aiken,Bachelor's,Graduate,Public,Southeast,Large Suburb,0.5122,21,973,18466,6883,6243,13750,21.8500004,41442,32800
University of South Carolina-Beaufort,Bachelor's,Bachelor's,Public,Southeast,Fringe Town,0.7304,20,932,19354,6114,6410,11000,23.6399994,34946,28700
University of South Carolina-Columbia,Bachelor's,Graduate,Public,Southeast,Mid-size City,0.606,27,1200,23685,10384,9514,19125,20.8999996,63282.5,38700
University of South Carolina-Lancaster,Associate,Associate,Public,Southeast,Distant Town,0.888,18,865,16937,5866,5596,19125,23.4500008,31787.5,28600
University of South Carolina-Salkehatchie,Associate,Associate,Public,Southeast,Fringe Rural,0.7313,16,789,19403,4914,5149,6500,23.7900009,22876.5,24800
University of South Carolina-Sumter,Associate,Associate,Public,Southeast,Small City,0.5456,19,927,16781,6189,5559,7818,23.3099995,32332,31000
University of South Carolina-Union,Associate,Associate,Public,Southeast,Distant Town,0.7692,16,826,17501,5221,5419,7375,22.9500008,27215,27500
Coastal Carolina University,Bachelor's,Graduate,Public,Southeast,Small City,0.7404,21,993,21601,7879,7130,14750,20.5599995,67086.5,32500
South Carolina State University,Bachelor's,Graduate,Public,Southeast,Distant Town,0.5079,18,851,25265,8132,6666,21750,20.6499996,28809,25100
University of South Carolina-Upstate,Bachelor's,Graduate,Public,Southeast,Mid-size Suburb,0.6422,21,982,20848,6703,6139,15750,22.7600002,41002.5,33600
Spartanburg Methodist College,Associate,Associate,Private,Southeast,Mid-size Suburb,0.8812,18,859,25085,3484,5746,6500,19.6700001,42764.5,27500
Winthrop University,Bachelor's,Graduate,Public,Southeast,Small City,0.7225,22,1030,24595,8527,7223,19976,20.6800003,56621.5,33100
Wofford College,Bachelor's,Bachelor's,Private,Southeast,Small City,0.688,27,1186,47856,10109,7867,19500,19.3199997,91037,44000
Augustana College,Bachelor's,Graduate,Private,Great Plains,Mid-size City,0.6809,24,1105,36828,10615,6488,25249,20.0799999,76993.5,38200
Black Hills State University,Bachelor's,Graduate,Public,Great Plains,Distant Town,0.8924,21,993,15906,5627,6666,13575,22.4200001,45782.5,31700
Dakota State University,Bachelor's,Graduate,Public,Great Plains,Distant Town,0.8297,22,1010,17201,7432,6855,12500,22.1299992,52416,34500
Dakota Wesleyan University,Bachelor's,Graduate,Private,Great Plains,Remote Town,0.7023,23,1058,31596,5538,5452,18500,22.3799992,42134,33600
Mount Marty College,Bachelor's,Graduate,Private,Great Plains,Remote Town,0.7239,23,1050,33103,7145,5217,20500,23.1200008,48944.5,32700
Northern State University,Bachelor's,Graduate,Public,Great Plains,Remote Town,0.9334,22,1030,17334,6723,6801,12821,21.7600002,48591.5,30300
Presentation College,Bachelor's,Bachelor's,Private,Great Plains,Remote Town,0.6608,20,934,26676,5942,4629,15000,25.4699993,39209,32000
South Dakota School of Mines and Technology,Bachelor's,Graduate,Public,Great Plains,Small City,0.8608,26,1183,20234,10035,8892,14875,21.6100006,57505.5,48600
South Dakota State University,Bachelor's,Graduate,Public,Great Plains,Remote Town,0.919,23,1050,18547,7415,7451,15269,20.9200001,63089,38200
University of Sioux Falls,Bachelor's,Graduate,Private,Great Plains,Mid-size City,0.969,23,1064,33909,6852,6075,16749,21.8700008,62665.5,34800
University of South Dakota,Bachelor's,Graduate,Public,Great Plains,Distant Town,0.8788,24,1090,18843,8747,7200,15463,22.9899998,53346,35900
Aquinas College,Associate,Bachelor's,Private,Southeast,Large City,0.521,25,1115,31324,10170,5291,21230,30.8799992,41470,45200
Austin Peay State University,Bachelor's,Graduate,Public,Southeast,Mid-size City,0.8595,22,1009,18852,6847,6879,15000,24.4699993,30942,31700
Baptist Memorial College of Health Sciences,Bachelor's,Bachelor's,Private,Southeast,Large City,0.463,25,1125,19745,9801,6442,21000,25.3500004,41376,50100
Belmont University,Bachelor's,Graduate,Private,Southeast,Large City,0.7987,27,1193,41450,8976,8450,19173,21.1599999,83588,37600
Bethel University,Bachelor's,Graduate,Private,Southeast,Distant Town,0.5103,20,930,26864,7006,3935,14531,29.0900002,37640.5,35200
Bryan College-Dayton,Bachelor's,Graduate,Private,Southeast,Distant Town,0.3762,23,1053,29489,4331,4166,9722,25.8700008,55458.5,35400
Carson-Newman University,Bachelor's,Graduate,Private,Southeast,Small Suburb,0.6657,23,1064,32446,6574,5577,15505,20.9200001,52873,32900
Christian Brothers University,Bachelor's,Graduate,Private,Southeast,Large City,0.4745,24,1105,34413,6948,5988,20600,23.3799992,41418,41800
Cleveland State Community College,Certificate,Associate,Public,Southeast,Small City,1,19,910,10764,5111,5424,6859.5,25.6000004,24530.5,26000
Cumberland University,Bachelor's,Graduate,Private,Southeast,Fringe Town,0.473,21,986,33402,6408,5864,17259,22,47713,36600
Lipscomb University,Bachelor's,Graduate,Private,Southeast,Large City,0.527,25,1149,37181,10013,7138,14500,20.6200008,79148,35500
East Tennessee State University,Bachelor's,Graduate,Public,Southeast,Small City,0.8649,22,1026,22485,12462,6711,14250,23.0300007,36276,30900
Fisk University,Bachelor's,Graduate,Private,Southeast,Large City,0.3968,18,854,38893,9602,5525,21500,19.9400005,38568,29500
Freed-Hardeman University,Bachelor's,Graduate,Private,Southeast,Distant Town,0.9203,24,1098,32814,6339,6154,19125,20.1399994,64443,33700
Johnson University,Bachelor's,Graduate,Private,Southeast,Fringe Rural,0.5464,22,1022,19898,6145,5485,14250,21.8899994,53910.5,28100
King University,Bachelor's,Graduate,Private,Southeast,Small City,0.6377,23,1039,36533,4357,4703,17910,25.6499996,52011,39900
Lane College,Bachelor's,Bachelor's,Private,Southeast,Small City,0.4916,15,716,17406,4813,4704,16018,20.2700005,25617,20300
Le Moyne-Owen College,Bachelor's,Bachelor's,Private,Southeast,Large City,0.2335,16,760,16427,4198,4750,12250,23.6100006,17437.5,23300
Lee University,Bachelor's,Graduate,Private,Southeast,Small City,0.9165,24,1094,23554,5177,5605,17686.5,21.4500008,54410,30000
Lincoln Memorial University,Bachelor's,Graduate,Private,Southeast,Remote Town,0.6995,23,1054,31241,7988,2660,15000,26.8899994,31386,35400
Maryville College,Bachelor's,Bachelor's,Private,Southeast,Large Suburb,0.7259,24,1068,41481,7181,6508,19000,19.9599991,61945.5,32700
Memphis College of Art,Bachelor's,Graduate,Private,Southeast,Large City,0.3978,22,1030,37855,8350,5255,25774,21.6000004,39874.5,22800
University of Memphis,Bachelor's,Graduate,Public,Southeast,Large City,0.6841,22,1031,20899,8742,8304,18938,23.2999992,29727,33700
Middle Tennessee State University,Bachelor's,Graduate,Public,Southeast,Mid-size City,0.6996,22,1011,17501,7418,7029,15000,22.0799999,42980,33100
Milligan College,Bachelor's,Graduate,Private,Southeast,Mid-size Suburb,0.683,24,1096,36252,6433,5717,19000,22.5200005,63207.5,36000
Motlow State Community College,Associate,Associate,Public,Southeast,Fringe Rural,0.4226,19,910,12466,5274,5050,3500,24.6299992,26146,25800
O'More College of Design,Bachelor's,Bachelor's,Private,Southeast,Small City,0.5816,23,1050,35632,7921,3697,15500,22.7800007,55868,24700
Rhodes College,Bachelor's,Graduate,Private,Southeast,Large City,0.5764,29,1288,50659,14821,8035,22991,19.4899998,100407,41400
Roane State Community College,Associate,Associate,Public,Southeast,Distant Town,0.9922,19,910,13454,5680,5627,7402,25.5799999,23312,26600
Sewanee-The University of the South,Bachelor's,Graduate,Private,Southeast,Distant Rural,0.6027,28,1248,46530,14960,8389,16000,19.6000004,81758,34300
Southern Adventist University,Bachelor's,Graduate,Private,Southeast,Large Suburb,0.3826,23,1050,29085,9131,5123,18554,20.8999996,57374,33600
Tennessee Wesleyan College,Bachelor's,Bachelor's,Private,Southeast,Distant Town,0.713,22,1006,28119,4651,4834,14500,22.8700008,45726.5,34600
The University of Tennessee-Chattanooga,Bachelor's,Graduate,Public,Southeast,Mid-size City,0.7757,23,1069,19192,7034,7477,11420.5,21.4799995,43600,33300
The University of Tennessee-Knoxville,Bachelor's,Graduate,Public,Southeast,Mid-size City,0.7249,27,1199,24746,20792,9976,15250,21.1200008,55229,39000
The University of Tennessee-Martin,Bachelor's,Graduate,Public,Southeast,Remote Town,0.7668,23,1050,16227,7336,6882,15134.5,21.9699993,41497,32000
Tennessee Technological University,Bachelor's,Graduate,Public,Southeast,Remote Town,0.9316,23,1071,19900,6916,7551,11000,21.7299995,45109,34400
Tennessee Temple University,Bachelor's,Graduate,Private,Southeast,Mid-size City,0.7843,18,878,23217,1889,2985,10001,21.3099995,52157,30500
Trevecca Nazarene University,Bachelor's,Graduate,Private,Southeast,Large City,0.772,23,1049,30820,7133,6337,16250,25.2999992,58888,36500
Tusculum College,Bachelor's,Graduate,Private,Southeast,Distant Town,0.7225,21,961,32783,3596,4906,20070,27.25,41744.5,34900
Union University,Bachelor's,Graduate,Private,Southeast,Small City,0.7412,26,1174,40415,9119,7369,20750,24.0100002,53200.5,37700
Vanderbilt University,Bachelor's,Graduate,Private,Southeast,Large City,0.1274,33,1475,59890,76995,12871,13000,19.9300003,74999.5,54400
Abilene Christian University,Bachelor's,Graduate,Private,Southwest,Mid-size City,0.4894,24,1087,39811,8737,5508,20698.5,20.2299995,75873.5,37200
Angelo State University,Bachelor's,Graduate,Public,Southwest,Small City,0.8049,21,965,19511,6830,6867,11773,21.3799992,43559,34500
Austin College,Bachelor's,Graduate,Private,Southwest,Small City,0.5861,25,1181,45800,14009,7605,23000,19.6499996,83025,41000
Baylor University,Bachelor's,Graduate,Private,Southwest,Mid-size City,0.5747,27,1215,51086,14046,8793,21000,19.7999992,72163,43700
Concordia University-Texas,Bachelor's,Graduate,Private,Southwest,Large City,0.4685,23,1035,37394,5736,6269,15224,25.3299999,58229.5,37200
Texas A & M University-Corpus Christi,Bachelor's,Graduate,Public,Southwest,Large City,0.9258,20,960,17782,6107,7505,13500,22.5100002,36327,37800
Dallas Baptist University,Bachelor's,Graduate,Private,Southwest,Large City,0.423,23,1078,32489,7945,7607,17348.5,26.6000004,48905.5,39900
Dallas Christian College,Bachelor's,Graduate,Private,Southwest,Large Suburb,0.5516,20,930,24499,5755,4459,14250,27.1700001,42236,36700
University of Dallas,Bachelor's,Graduate,Private,Southwest,Mid-size City,0.9011,27,1216,47437,9425,7217,17625,20.4200001,86001,38600
East Texas Baptist University,Bachelor's,Graduate,Private,Southwest,Distant Town,0.7362,20,957,30172,7590,6153,11411,20.8299999,52871,37500
Texas A & M University-Commerce,Bachelor's,Graduate,Public,Southwest,Distant Town,0.6818,21,987,18487,6434,7743,15000,24.8299999,32165,35900
Hardin-Simmons University,Bachelor's,Graduate,Private,Southwest,Mid-size City,0.3759,23,1035,32001,9644,6653,16137,20.9400005,60884,36700
Houston Baptist University,Bachelor's,Graduate,Private,Southwest,Large City,0.7318,24,1075,36095,7357,6504,12500,23.2199993,34306,41700
University of Houston-Downtown,Bachelor's,Graduate,Public,Southwest,Large City,0.9509,19,894,18879,4306,7279,13000,24.6200008,24928.5,38500
University of Houston,Bachelor's,Graduate,Public,Southwest,Large City,0.5841,25,1136,22215,7456,10569,14878,22.1000004,33211,45200
Howard Payne University,Bachelor's,Graduate,Private,Southwest,Remote Town,0.5382,20,953,32861,8101,5553,12275,21.9400005,46720,33300
Huston-Tillotson University,Bachelor's,Graduate,Private,Southwest,Large City,0.4589,15,780,25894,7991,5676,12498,22.0400009,28925,27800
University of the Incarnate Word,Bachelor's,Graduate,Private,Southwest,Large City,0.9307,21,967,34487,6728,7616,19500,25.4500008,41999,41600
Lamar University,Bachelor's,Graduate,Public,Southwest,Mid-size City,0.7682,21,974,21142,4626,7689,12500,22.4300003,31781.5,35800
Texas A & M International University,Bachelor's,Graduate,Public,Southwest,Mid-size City,0.4785,18,892,15272,5482,7689,11250,22.7600002,23615.5,41100
LeTourneau University,Bachelor's,Graduate,Private,Southwest,Small City,0.4066,26,1175,37031,7550,7287,23250,29.6100006,44614.5,44500
Lubbock Christian University,Bachelor's,Graduate,Private,Southwest,Mid-size City,0.9489,22,1010,28493,6054,5878,18500,24.2999992,49495,35800
University of Mary Hardin-Baylor,Bachelor's,Graduate,Private,Southwest,Small Suburb,0.8468,24,1069,35000,8331,7197,16500,22.0900002,57382,38000
McMurry University,Bachelor's,Bachelor's,Private,Southwest,Mid-size City,0.5924,21,982,34650,8200,5688,16865,21.9400005,44039,35700
Midwestern State University,Bachelor's,Graduate,Public,Southwest,Mid-size City,0.7178,21,993,15704,8018,7118,14950,22.7600002,42383.5,35600
University of North Texas,Bachelor's,Graduate,Public,Southwest,Mid-size City,0.5969,24,1100,18593,7571,9746,14955,22.2600002,49512,39400
Northwood University-Texas,Bachelor's,Graduate,Private,Southwest,Fringe Rural,0.2578,20,924,31642,5038,6060,18750,25.4599991,49456,40800
Our Lady of the Lake University,Bachelor's,Graduate,Private,Southwest,Large City,0.6561,18,882,33227,7872,7587,17500,24.7900009,31566.5,35700
The University of Texas-Pan American,Bachelor's,Graduate,Public,Southwest,Small City,0.6217,20,937,11601,6001,7552,9621,21.7399998,21957,36500
Paul Quinn College,Bachelor's,Bachelor's,Private,Southwest,Large City,0.9858,16,775,21418,2988,4385,9500,24.0699997,19731,25300
Prairie Vis A & M University,Bachelor's,Graduate,Public,Southwest,Distant Town,0.4232,18,845,16782,5864,7307,17438,20.6100006,34372,30900
Rice University,Bachelor's,Graduate,Private,Southwest,Large City,0.1674,33,1454,52242,39651,13468,7727,20.4599991,71258,56500
Saint Edward's University,Bachelor's,Graduate,Private,Southwest,Large City,0.7853,24,1117,43046,10387,7920,21500,23.1399994,54531.5,41400
University of St Thomas,Bachelor's,Graduate,Private,Southwest,Large City,0.7724,26,1121,37271,11149,6830,20000,21.6399994,42131.5,43200
Sam Houston State University,Bachelor's,Graduate,Public,Southwest,Distant Town,0.6499,21,999,19173,4851,7316,16490,21.4699993,47405.5,38400
Schreiner University,Bachelor's,Graduate,Private,Southwest,Remote Town,0.9262,22,995,33631,6482,5712,14250,23.5400009,39382,34700
St Mary's University,Bachelor's,Graduate,Private,Southwest,Large City,0.5823,23,1050,35160,12291,9441,20000,20.9200001,44525.5,40800
Southern Methodist University,Bachelor's,Graduate,Private,Southwest,Large Suburb,0.507,29,1302,57947,15884,11283,19000,21.1599999,63543.5,50400
Southwestern University,Bachelor's,Bachelor's,Private,Southwest,Large Suburb,0.5217,26,1168,46789,14025,7926,20644,19.5400009,95160,41700
Stephen F Austin State University,Bachelor's,Graduate,Public,Southwest,Fringe Rural,0.5687,22,998,21909,6535,7087,16074,21.7900009,45665,36800
Texas State University,Bachelor's,Graduate,Public,Southwest,Small Suburb,0.7508,23,1045,19721,6379,7528,15750,21.9500008,48876,40700
Southwestern Adventist University,Bachelor's,Graduate,Private,Southwest,Fringe Town,0.5392,20,949,27907,9043,6105,17995,23.4400005,38208,37900
Sul Ross State University,Bachelor's,Graduate,Public,Southwest,Remote Town,0.522,18,865,17254,6455,6180,10250,23.6000004,23682,33000
Tarleton State University,Bachelor's,Graduate,Public,Southwest,Remote Town,0.5682,21,984,17709,6065,7074,13118,23.1700001,42847,37900
Texas A & M University-Kingsville,Bachelor's,Graduate,Public,Southwest,Distant Town,0.881,19,895,19721,6081,7392,14695,23.4599991,26861.5,36400
Texas A & M University-College Station,Bachelor's,Graduate,Public,Southwest,Small City,0.6947,26,1182,20819,13297,10287,16566.5,20.1399994,71288,49000
The University of Texas at Arlington,Bachelor's,Graduate,Public,Southwest,Large City,0.5998,23,1077,21420,6782,8272,12834,23.2199993,36358,42900
The University of Texas at Austin,Bachelor's,Graduate,Public,Southwest,Large City,0.4019,28,1262,25176,16906,10900,20500,20.1800003,62086,48600
The University of Texas at Dallas,Bachelor's,Graduate,Public,Southwest,Mid-size City,0.5857,28,1262,22381,9848,12416,15080.5,23.3600006,39445.5,46800
The University of Texas at El Paso,Bachelor's,Graduate,Public,Southwest,Large City,0.9981,20,923,15272,6854,8167,12500,22.9799995,22907,34300
The University of Texas at Tyler,Bachelor's,Graduate,Public,Southwest,Small City,0.8203,23,1064,19366,8111,7291,13000,23.9400005,34405,39200
Texas Christian University,Bachelor's,Graduate,Private,Southwest,Large City,0.4739,27,1206,48189,14422,10206,19500,20.5499992,81852.5,45800
Texas Lutheran University,Bachelor's,Graduate,Private,Southwest,Fringe Town,0.5087,23,1041,35480,7862,6626,17750,20.1000004,68816.5,38200
The University of Texas of the Permian Basin,Bachelor's,Graduate,Public,Southwest,Mid-size City,0.8401,21,1008,14292,8991,7196,9015.5,25.0900002,29706,39100
The University of Texas at San Antonio,Bachelor's,Graduate,Public,Southwest,Large City,0.7327,23,1050,18936,6338,9272,16490,22.2000008,38470,39700
Texas Southern University,Bachelor's,Graduate,Public,Southwest,Large City,0.4503,17,832,22311,9114,7660,17311.5,21.9799995,22626,25900
Texas Tech University,Bachelor's,Graduate,Public,Southwest,Mid-size City,0.663,25,1116,20900,6813,8757,17750,20.5900002,69477,43900
Texas Wesleyan University,Bachelor's,Graduate,Private,Southwest,Large City,0.2992,21,997,30696,9982,6803,19500,24.9899998,36026,40700
Texas Woman's University,Bachelor's,Graduate,Public,Southwest,Mid-size City,0.8603,20,953,16345,6445,7511,14385,24.7900009,36226,41900
Trinity University,Bachelor's,Graduate,Private,Southwest,Large City,0.6393,29,1270,46274,14743,9715,18500,19.5699997,101012.5,49600
Wayland Baptist University,Bachelor's,Graduate,Private,Southwest,Remote Town,0.9862,20,940,21543,6559,4845,12500,29.0300007,36554.5,37400
West Texas A & M University,Bachelor's,Graduate,Public,Southwest,Fringe Town,0.7403,22,994,17553,6765,7359,13573,23.6800003,39169,37100
Brigham Young University-Provo,Bachelor's,Graduate,Private,Rocky Mountains,Mid-size City,0.4942,29,1277,17174,13268,9649,9260.5,21.7000008,20347,47400
Brigham Young University-Hawaii,Bachelor's,Graduate,Private,Far West,Fringe Town,0.3604,24,1081,14544,11999,8794,5780,22.2399998,22339,34100
Southern Utah University,Bachelor's,Graduate,Public,Rocky Mountains,Remote Town,0.5709,23,1066,18042,5519,6526,8250,22.5,30660.5,34000
Utah State University,Bachelor's,Graduate,Public,Rocky Mountains,Small City,0.9674,24,1087,16020,8255,8206,8750,23.3600006,29227,37300
University of Utah,Bachelor's,Graduate,Public,Rocky Mountains,Mid-size City,0.8174,24,1109,19048,12835,7764,12839,23.5400009,32294,44300
Westminster College,Bachelor's,Graduate,Private,Rocky Mountains,Mid-size City,0.7517,25,1134,37990,10682,8393,17958,23.4099999,50415,41700
Castleton State College,Bachelor's,Graduate,Public,New England,Distant Town,0.9205,20,954,20799,7411,6175,18625,21.0599995,69241,31200
Champlain College,Bachelor's,Graduate,Private,New England,Small City,0.7079,25,1122,44636,8683,7305,21500,21.8999996,80415,37900
Johnson State College,Bachelor's,Graduate,Public,New England,Distant Rural,0.9688,19,948,20404,8333,6661,18000,24.5900002,43579,28000
Lyndon State College,Bachelor's,Graduate,Public,New England,Remote Town,0.9934,20,930,19178,7553,6254,14200,20.8799992,56155,29700
Middlebury College,Bachelor's,Graduate,Private,New England,Distant Town,0.1716,32,1391,59200,23214,10599,17777.5,21.6000004,60997.5,49100
Norwich University,Bachelor's,Graduate,Private,New England,Distant Town,0.6349,24,1065,47341,6331,7147,23000,20.0100002,84597,43800
Saint Michael's College,Bachelor's,Graduate,Private,New England,Mid-size Suburb,0.7511,26,1173,48894,10627,8319,25000,19.4200001,96675.5,41600
